iteration,w_mse,w_anatomy
502,1.00000000,0.98270684
503,1.00000000,0.98304346
504,1.00000000,0.98337364
505,1.00000000,0.98369750
506,1.00000000,0.98401515
507,1.00000000,0.98432671
508,1.00000000,0.98463229
509,1.00000000,0.98493201
510,1.00000000,0.98522597
511,1.00000000,0.98551428
512,1.00000000,0.98579704
513,1.00000000,0.98607436
514,1.00000000,0.98634634
515,1.00000000,0.98661308
516,1.00000000,0.98687468
517,1.00000000,0.98713124
518,1.00000000,0.98738284
519,1.00000000,0.98762959
520,1.00000000,0.98787157
521,1.00000000,0.98810887
522,1.00000000,0.98834158
523,1.00000000,0.98856980
524,1.00000000,0.98879359
525,1.00000000,0.98901306
526,1.00000000,0.98922827
527,1.00000000,0.98943931
528,1.00000000,0.98964626
529,1.00000000,0.98984920
530,1.00000000,0.99004820
531,1.00000000,0.99024333
532,1.00000000,0.99043468
533,1.00000000,0.99062231
534,1.00000000,0.99080629
535,1.00000000,0.99098670
536,1.00000000,0.99116360
537,1.00000000,0.99133706
538,1.00000000,0.99150714
539,1.00000000,0.99167391
540,1.00000000,0.99183743
541,1.00000000,0.99199777
542,1.00000000,0.99215498
543,1.00000000,0.99230912
544,1.00000000,0.99246027
545,1.00000000,0.99260846
546,1.00000000,0.99275376
547,1.00000000,0.99289623
548,1.00000000,0.99303591
549,1.00000000,0.99317287
550,1.00000000,0.99330715
551,1.00000000,0.99343881
552,1.00000000,0.99356789
553,1.00000000,0.99369445
554,1.00000000,0.99381854
555,1.00000000,0.99394020
556,1.00000000,0.99405948
557,1.00000000,0.99417642
558,1.00000000,0.99429108
559,1.00000000,0.99440349
560,1.00000000,0.99451370
561,1.00000000,0.99462175
562,1.00000000,0.99472769
563,1.00000000,0.99483155
564,1.00000000,0.99493337
565,1.00000000,0.99503320
566,1.00000000,0.99513107
567,1.00000000,0.99522702
568,1.00000000,0.99532109
569,1.00000000,0.99541331
570,1.00000000,0.99550373
571,1.00000000,0.99559237
572,1.00000000,0.99567927
573,1.00000000,0.99576446
574,1.00000000,0.99584798
575,1.00000000,0.99592986
576,1.00000000,0.99601013
577,1.00000000,0.99608883
578,1.00000000,0.99616598
579,1.00000000,0.99624161
580,1.00000000,0.99631576
581,1.00000000,0.99638845
582,1.00000000,0.99645971
583,1.00000000,0.99652957
584,1.00000000,0.99659805
585,1.00000000,0.99666519
586,1.00000000,0.99673101
587,1.00000000,0.99679553
588,1.00000000,0.99685879
589,1.00000000,0.99692080
590,1.00000000,0.99698158
591,1.00000000,0.99704118
592,1.00000000,0.99709959
593,1.00000000,0.99715686
594,1.00000000,0.99721300
595,1.00000000,0.99726804
596,1.00000000,0.99732199
597,1.00000000,0.99737488
598,1.00000000,0.99742673
599,1.00000000,0.99747755
600,1.00000000,0.99752738
601,1.00000000,0.99757622
602,1.00000000,0.99762410
603,1.00000000,0.99767104
604,1.00000000,0.99771705
605,1.00000000,0.99776215
606,1.00000000,0.99780637
607,1.00000000,0.99784971
608,1.00000000,0.99789220
609,1.00000000,0.99793385
610,1.00000000,0.99797468
611,1.00000000,0.99801470
612,1.00000000,0.99805394
613,1.00000000,0.99809240
614,1.00000000,0.99813010
615,1.00000000,0.99816706
616,1.00000000,0.99820329
617,1.00000000,0.99823881
618,1.00000000,0.99827362
619,1.00000000,0.99830775
620,1.00000000,0.99834120
621,1.00000000,0.99837399
622,1.00000000,0.99840614
623,1.00000000,0.99843765
624,1.00000000,0.99846854
625,1.00000000,0.99849882
626,1.00000000,0.99852850
627,1.00000000,0.99855760
628,1.00000000,0.99858612
629,1.00000000,0.99861407
630,1.00000000,0.99864148
631,1.00000000,0.99866834
632,1.00000000,0.99869468
633,1.00000000,0.99872049
634,1.00000000,0.99874580
635,1.00000000,0.99877060
636,1.00000000,0.99879492
637,1.00000000,0.99881875
638,1.00000000,0.99884211
639,1.00000000,0.99886501
640,1.00000000,0.99888746
641,1.00000000,0.99890947
642,1.00000000,0.99893104
643,1.00000000,0.99895219
644,1.00000000,0.99897291
645,1.00000000,0.99899323
646,1.00000000,0.99901314
647,1.00000000,0.99903267
648,1.00000000,0.99905180
649,1.00000000,0.99907056
650,1.00000000,0.99908895
651,1.00000000,0.99910697
652,1.00000000,0.99912464
653,1.00000000,0.99914196
654,1.00000000,0.99915893
655,1.00000000,0.99917558
656,1.00000000,0.99919189
657,1.00000000,0.99920788
658,1.00000000,0.99922355
659,1.00000000,0.99923891
660,1.00000000,0.99925397
661,1.00000000,0.99926873
662,1.00000000,0.99928320
663,1.00000000,0.99929739
664,1.00000000,0.99931129
665,1.00000000,0.99932492
666,1.00000000,0.99933828
667,1.00000000,0.99935137
668,1.00000000,0.99936421
669,1.00000000,0.99937679
670,1.00000000,0.99938912
671,1.00000000,0.99940121
672,1.00000000,0.99941306
673,1.00000000,0.99942468
674,1.00000000,0.99943606
675,1.00000000,0.99944722
676,1.00000000,0.99945816
677,1.00000000,0.99946888
678,1.00000000,0.99947940
679,1.00000000,0.99948970
680,1.00000000,0.99949980
681,1.00000000,0.99950970
682,1.00000000,0.99951940
683,1.00000000,0.99952891
684,1.00000000,0.99953824
685,1.00000000,0.99954738
686,1.00000000,0.99955634
687,1.00000000,0.99956512
688,1.00000000,0.99957373
689,1.00000000,0.99958216
690,1.00000000,0.99959043
691,1.00000000,0.99959854
692,1.00000000,0.99960649
693,1.00000000,0.99961427
694,1.00000000,0.99962191
695,1.00000000,0.99962939
696,1.00000000,0.99963673
697,1.00000000,0.99964392
698,1.00000000,0.99965097
699,1.00000000,0.99965788
700,1.00000000,0.99966465
701,1.00000000,0.99967129
702,1.00000000,0.99967779
703,1.00000000,0.99968417
704,1.00000000,0.99969042
705,1.00000000,0.99969655
706,1.00000000,0.99970256
707,1.00000000,0.99970845
708,1.00000000,0.99971422
709,1.00000000,0.99971988
710,1.00000000,0.99972542
711,1.00000000,0.99973086
712,1.00000000,0.99973619
713,1.00000000,0.99974141
714,1.00000000,0.99974653
715,1.00000000,0.99975154
716,1.00000000,0.99975646
717,1.00000000,0.99976128
718,1.00000000,0.99976601
719,1.00000000,0.99977064
720,1.00000000,0.99977518
721,1.00000000,0.99977963
722,1.00000000,0.99978400
723,1.00000000,0.99978827
724,1.00000000,0.99979246
725,1.00000000,0.99979657
726,1.00000000,0.99980060
727,1.00000000,0.99980455
728,1.00000000,0.99980842
729,1.00000000,0.99981221
730,1.00000000,0.99981593
731,1.00000000,0.99981957
732,1.00000000,0.99982314
733,1.00000000,0.99982665
734,1.00000000,0.99983008
735,1.00000000,0.99983344
736,1.00000000,0.99983674
737,1.00000000,0.99983997
738,1.00000000,0.99984314
739,1.00000000,0.99984625
740,1.00000000,0.99984929
741,1.00000000,0.99985227
742,1.00000000,0.99985520
743,1.00000000,0.99985807
744,1.00000000,0.99986088
745,1.00000000,0.99986363
746,1.00000000,0.99986633
747,1.00000000,0.99986898
748,1.00000000,0.99987157
749,1.00000000,0.99987411
750,1.00000000,0.99987661
751,1.00000000,0.99987905
752,1.00000000,0.99988144
753,1.00000000,0.99988379
754,1.00000000,0.99988609
755,1.00000000,0.99988835
756,1.00000000,0.99989056
757,1.00000000,0.99989272
758,1.00000000,0.99989485
759,1.00000000,0.99989693
760,1.00000000,0.99989897
761,1.00000000,0.99990097
762,1.00000000,0.99990293
763,1.00000000,0.99990485
764,1.00000000,0.99990674
765,1.00000000,0.99990858
766,1.00000000,0.99991039
767,1.00000000,0.99991217
768,1.00000000,0.99991391
769,1.00000000,0.99991561
770,1.00000000,0.99991728
771,1.00000000,0.99991892
772,1.00000000,0.99992053
773,1.00000000,0.99992210
774,1.00000000,0.99992364
775,1.00000000,0.99992515
776,1.00000000,0.99992664
777,1.00000000,0.99992809
778,1.00000000,0.99992951
779,1.00000000,0.99993091
780,1.00000000,0.99993228
781,1.00000000,0.99993362
782,1.00000000,0.99993493
783,1.00000000,0.99993622
784,1.00000000,0.99993748
785,1.00000000,0.99993872
786,1.00000000,0.99993993
787,1.00000000,0.99994112
788,1.00000000,0.99994229
789,1.00000000,0.99994343
790,1.00000000,0.99994455
791,1.00000000,0.99994565
792,1.00000000,0.99994673
793,1.00000000,0.99994778
794,1.00000000,0.99994881
795,1.00000000,0.99994983
796,1.00000000,0.99995082
797,1.00000000,0.99995180
798,1.00000000,0.99995275
799,1.00000000,0.99995369
800,1.00000000,0.99995460
801,1.00000000,0.99995550
802,1.00000000,0.99995638
803,1.00000000,0.99995725
804,1.00000000,0.99995809
805,1.00000000,0.99995892
806,1.00000000,0.99995974
807,1.00000000,0.99996053
808,1.00000000,0.99996131
809,1.00000000,0.99996208
810,1.00000000,0.99996283
811,1.00000000,0.99996357
812,1.00000000,0.99996429
813,1.00000000,0.99996500
814,1.00000000,0.99996569
815,1.00000000,0.99996637
816,1.00000000,0.99996703
817,1.00000000,0.99996769
818,1.00000000,0.99996833
819,1.00000000,0.99996895
820,1.00000000,0.99996957
821,1.00000000,0.99997017
822,1.00000000,0.99997076
823,1.00000000,0.99997134
824,1.00000000,0.99997191
825,1.00000000,0.99997246
826,1.00000000,0.99997301
827,1.00000000,0.99997354
828,1.00000000,0.99997407
829,1.00000000,0.99997458
830,1.00000000,0.99997508
831,1.00000000,0.99997558
832,1.00000000,0.99997606
833,1.00000000,0.99997654
834,1.00000000,0.99997700
835,1.00000000,0.99997746
836,1.00000000,0.99997790
837,1.00000000,0.99997834
838,1.00000000,0.99997877
839,1.00000000,0.99997919
840,1.00000000,0.99997960
841,1.00000000,0.99998000
842,1.00000000,0.99998040
843,1.00000000,0.99998079
844,1.00000000,0.99998117
845,1.00000000,0.99998154
846,1.00000000,0.99998191
847,1.00000000,0.99998227
848,1.00000000,0.99998262
849,1.00000000,0.99998296
850,1.00000000,0.99998330
851,1.00000000,0.99998363
852,1.00000000,0.99998395
853,1.00000000,0.99998427
854,1.00000000,0.99998458
855,1.00000000,0.99998489
856,1.00000000,0.99998519
857,1.00000000,0.99998548
858,1.00000000,0.99998577
859,1.00000000,0.99998605
860,1.00000000,0.99998633
861,1.00000000,0.99998660
862,1.00000000,0.99998686
863,1.00000000,0.99998712
864,1.00000000,0.99998738
865,1.00000000,0.99998763
866,1.00000000,0.99998787
867,1.00000000,0.99998811
868,1.00000000,0.99998835
869,1.00000000,0.99998858
870,1.00000000,0.99998880
871,1.00000000,0.99998903
872,1.00000000,0.99998924
873,1.00000000,0.99998946
874,1.00000000,0.99998967
875,1.00000000,0.99998987
876,1.00000000,0.99999007
877,1.00000000,0.99999027
878,1.00000000,0.99999046
879,1.00000000,0.99999065
880,1.00000000,0.99999083
881,1.00000000,0.99999102
882,1.00000000,0.99999119
883,1.00000000,0.99999137
884,1.00000000,0.99999154
885,1.00000000,0.99999171
886,1.00000000,0.99999187
887,1.00000000,0.99999203
888,1.00000000,0.99999219
889,1.00000000,0.99999234
890,1.00000000,0.99999250
891,1.00000000,0.99999264
892,1.00000000,0.99999279
893,1.00000000,0.99999293
894,1.00000000,0.99999307
895,1.00000000,0.99999321
896,1.00000000,0.99999334
897,1.00000000,0.99999348
898,1.00000000,0.99999361
899,1.00000000,0.99999373
900,1.00000000,0.99999386
901,1.00000000,0.99999398
902,1.00000000,0.99999410
903,1.00000000,0.99999421
904,1.00000000,0.99999433
905,1.00000000,0.99999444
906,1.00000000,0.99999455
907,1.00000000,0.99999466
908,1.00000000,0.99999476
909,1.00000000,0.99999487
910,1.00000000,0.99999497
911,1.00000000,0.99999507
912,1.00000000,0.99999517
913,1.00000000,0.99999526
914,1.00000000,0.99999536
915,1.00000000,0.99999545
916,1.00000000,0.99999554
917,1.00000000,0.99999563
918,1.00000000,0.99999571
919,1.00000000,0.99999580
920,1.00000000,0.99999588
921,1.00000000,0.99999596
922,1.00000000,0.99999604
923,1.00000000,0.99999612
924,1.00000000,0.99999620
925,1.00000000,0.99999627
926,1.00000000,0.99999635
927,1.00000000,0.99999642
928,1.00000000,0.99999649
929,1.00000000,0.99999656
930,1.00000000,0.99999663
931,1.00000000,0.99999669
932,1.00000000,0.99999676
933,1.00000000,0.99999682
934,1.00000000,0.99999689
935,1.00000000,0.99999695
936,1.00000000,0.99999701
937,1.00000000,0.99999707
938,1.00000000,0.99999713
939,1.00000000,0.99999718
940,1.00000000,0.99999724
941,1.00000000,0.99999729
942,1.00000000,0.99999735
943,1.00000000,0.99999740
944,1.00000000,0.99999745
945,1.00000000,0.99999750
946,1.00000000,0.99999755
947,1.00000000,0.99999760
948,1.00000000,0.99999765
949,1.00000000,0.99999769
950,1.00000000,0.99999774
951,1.00000000,0.99999778
952,1.00000000,0.99999783
953,1.00000000,0.99999787
954,1.00000000,0.99999791
955,1.00000000,0.99999795
956,1.00000000,0.99999800
957,1.00000000,0.99999803
958,1.00000000,0.99999807
959,1.00000000,0.99999811
960,1.00000000,0.99999815
961,1.00000000,0.99999819
962,1.00000000,0.99999822
963,1.00000000,0.99999826
964,1.00000000,0.99999829
965,1.00000000,0.99999833
966,1.00000000,0.99999836
967,1.00000000,0.99999839
968,1.00000000,0.99999842
969,1.00000000,0.99999845
970,1.00000000,0.99999848
971,1.00000000,0.99999851
972,1.00000000,0.99999854
973,1.00000000,0.99999857
974,1.00000000,0.99999860
975,1.00000000,0.99999863
976,1.00000000,0.99999866
977,1.00000000,0.99999868
978,1.00000000,0.99999871
979,1.00000000,0.99999873
980,1.00000000,0.99999876
981,1.00000000,0.99999878
982,1.00000000,0.99999881
983,1.00000000,0.99999883
984,1.00000000,0.99999885
985,1.00000000,0.99999888
986,1.00000000,0.99999890
987,1.00000000,0.99999892
988,1.00000000,0.99999894
989,1.00000000,0.99999896
990,1.00000000,0.99999898
991,1.00000000,0.99999900
992,1.00000000,0.99999902
993,1.00000000,0.99999904
994,1.00000000,0.99999906
995,1.00000000,0.99999908
996,1.00000000,0.99999910
997,1.00000000,0.99999912
998,1.00000000,0.99999913
999,1.00000000,0.99999915
1000,1.00000000,0.99999917
